Ecoregion,Huc12
P,030201010103
P,030201010104
P,030201010105
P,030201010106
P,030201010201
P,030201010202
P,030201010203
P,030201010204
P,030201010301
P,030201010302
P,030201010303
P,030201010304
P,030201010401
P,030201010402
P,030201010403
P,030201010404
P,030201010405
P,030201010501
P,030201010502
P,030201010503
P,030201010601
P,030201010602
P,030201010603
P,030201010604
P,030201010605
P,030201010701
P,030201010702
P,030201010703
P,030201010704
P,030201010705
P,030201010706
P,030201010801
P,030201020101
P,030201020102
P,030201020103
P,030201020104
P,030201020201
P,030201020202
P,030201020203
P,030201020204
P,030201020205
P,030201020206
P,030201020301
P,030201020302
P,030201020303
P,030201020304
P,030201020401
P,030201020402
P,030201020404
P,030201020502
P,030201020503
P,030202010101
P,030202010102
P,030202010103
P,030202010104
P,030202010201
P,030202010202
P,030202010203
P,030202010301
P,030202010302
P,030202010303
P,030202010304
P,030202010401
P,030202010402
P,030202010403
P,030202010404
P,030202010501
P,030202010502
P,030202010503
P,030202010504
P,030202010601
P,030202010602
P,030202010603
P,030202010604
P,030202010701
P,030202010702
P,030202010703
P,030202010704
P,030202010705
P,030202010801
P,030202010802
P,030202010803
P,030202010804
P,030202010901
P,030202010902
P,030202010903
P,030202011001
P,030202011002
P,030202011003
P,030202011004
P,030202011005
P,030202011006
P,030202011007
P,030202011101
P,030202011102
P,030202011103
P,030202011104
P,030202011105
P,030202011501
P,030202011502
P,030202011503
P,030202011504
P,030202011505
P,030202030101
P,030202030102
P,030202030103
P,030202030104
P,030202030105
P,030202030401
P,030300020101
P,030300020102
P,030300020103
P,030300020104
P,030300020105
P,030300020106
P,030300020107
P,030300020108
P,030300020201
P,030300020202
P,030300020203
P,030300020204
P,030300020205
P,030300020206
P,030300020207
P,030300020301
P,030300020302
P,030300020303
P,030300020304
P,030300020305
P,030300020306
P,030300020307
P,030300020308
P,030300020309
P,030300020310
P,030300020401
P,030300020402
P,030300020403
P,030300020404
P,030300020405
P,030300020406
P,030300020407
P,030300020408
P,030300020501
P,030300020502
P,030300020503
P,030300020504
P,030300020505
P,030300020506
P,030300020507
P,030300020508
P,030300020509
P,030300020601
P,030300020602
P,030300020603
P,030300020604
P,030300020605
P,030300020606
P,030300020607
P,030300020608
P,030300020609
P,030300020610
P,030300020701
P,030300020702
P,030300020703
P,030300020704
P,030300020705
P,030300030101
P,030300030102
P,030300030103
P,030300030104
P,030300030105
P,030300030106
P,030300030107
P,030300030108
P,030300030109
P,030300030110
P,030300030201
P,030300030202
P,030300030203
P,030300030204
P,030300030205
P,030300030206
P,030300030207
P,030300030208
P,030300030301
P,030300030302
P,030300030303
P,030300030401
P,030300030402
P,030300030403
P,030300030404
P,030300030405
P,030300030406
P,030300030407
P,030300030408
P,030300030501
P,030300030502
P,030300030503
P,030300030504
P,030300030505
P,030300030506
P,030300030507
P,030300030508
P,030300030509
P,030300030601
P,030300030602
P,030300030603
P,030300030604
P,030300030605
P,030300030606
P,030300030607
P,030300030608
P,030300040101
P,030300040102
P,030300040103
P,030300040104
P,030300040105
P,030300040106
P,030300040201
P,030300040202
P,030300040203
P,030300040204
P,030300040205
P,030300040305
P,030300040306
P,030300040501
P,030300040502
P,030300040505
P,030401010103
P,030401010104
P,030401010105
P,030401010201
P,030401010202
P,030401010203
P,030401010204
P,030401010205
P,030401010206
P,030401010301
P,030401010302
P,030401010305
P,030401010306
P,030401010307
P,030401010401
P,030401010402
P,030401010403
P,030401010404
P,030401010405
P,030401010406
P,030401010407
P,030401010501
P,030401010502
P,030401010503
P,030401010504
P,030401010601
P,030401010602
P,030401010603
P,030401010604
P,030401010605
P,030401010606
P,030401010607
P,030401010701
P,030401010702
P,030401010703
P,030401010704
P,030401010705
P,030401010801
P,030401010802
P,030401010803
P,030401010804
P,030401010805
P,030401010806
P,030401010807
P,030401010901
P,030401010902
P,030401010903
P,030401010904
P,030401011001
P,030401011002
P,030401011003
P,030401011004
P,030401011005
P,030401011006
P,030401011007
P,030401011101
P,030401011102
P,030401011103
P,030401011201
P,030401011202
P,030401011203
P,030401011301
P,030401011302
P,030401011303
P,030401011304
P,030401011305
P,030401011306
P,030401011307
P,030401011308
P,030401011401
P,030401011402
P,030401011403
P,030401011404
P,030401011501
P,030401011502
P,030401011503
P,030401011504
P,030401020101
P,030401020102
P,030401020103
P,030401020104
P,030401020105
P,030401020106
P,030401020107
P,030401020108
P,030401020109
P,030401020201
P,030401020202
P,030401020203
P,030401020204
P,030401020205
P,030401020206
P,030401020301
P,030401020302
P,030401020303
P,030401020304
P,030401020401
P,030401020402
P,030401020403
P,030401020501
P,030401020502
P,030401020503
P,030401020504
P,030401020601
P,030401020602
P,030401020603
P,030401030101
P,030401030102
P,030401030103
P,030401030104
P,030401030105
P,030401030201
P,030401030202
P,030401030203
P,030401030204
P,030401030205
P,030401030206
P,030401030207
P,030401030301
P,030401030302
P,030401030303
P,030401030304
P,030401030305
P,030401030401
P,030401030402
P,030401030403
P,030401030404
P,030401030405
P,030401030406
P,030401030501
P,030401030502
P,030401030503
P,030401030504
P,030401030505
P,030401030601
P,030401030602
P,030401030603
P,030401030604
P,030401030605
P,030401040101
P,030401040102
P,030401040103
P,030401040104
P,030401040105
P,030401040201
P,030401040202
P,030401040203
P,030401040204
P,030401040205
P,030401040301
P,030401040302
P,030401040303
P,030401040304
P,030401040305
P,030401040306
P,030401040401
P,030401040402
P,030401040403
P,030401040404
P,030401040501
P,030401040502
P,030401040503
P,030401040504
P,030401040505
P,030401040506
P,030401050101
P,030401050102
P,030401050103
P,030401050104
P,030401050105
P,030401050106
P,030401050201
P,030401050202
P,030401050203
P,030401050301
P,030401050302
P,030401050303
P,030401050304
P,030401050305
P,030401050306
P,030401050307
P,030401050401
P,030401050402
P,030401050403
P,030401050404
P,030401050405
P,030401050406
P,030401050501
P,030401050502
P,030401050503
P,030401050504
P,030401050505
P,030401050506
P,030401050507
P,030401050601
P,030401050602
P,030401050603
P,030401050604
P,030401050701
P,030401050702
P,030401050703
P,030401050704
P,030401050705
P,030401050706
P,030401050707
P,030401050708
P,030402010201
P,030402010202
P,030402010203
P,030402010301
P,030402010303
P,030402010304
P,030402010306
P,030402010401
P,030402010402
P,030402010404
P,030402020101
P,030402020102
P,030501010106
P,030501010202
P,030501010302
P,030501010303
P,030501010401
P,030501010402
P,030501010403
P,030501010503
P,030501010504
P,030501010505
P,030501010506
P,030501010601
P,030501010602
P,030501010603
P,030501010604
P,030501010605
P,030501010606
P,030501010607
P,030501010608
P,030501010701
P,030501010702
P,030501010703
P,030501010801
P,030501010802
P,030501010803
P,030501010804
P,030501010901
P,030501010902
P,030501010903
P,030501010904
P,030501011001
P,030501011002
P,030501011003
P,030501011004
P,030501011005
P,030501011101
P,030501011102
P,030501011103
P,030501011104
P,030501011105
P,030501011106
P,030501011201
P,030501011202
P,030501011203
P,030501011204
P,030501011301
P,030501011302
P,030501011303
P,030501011304
P,030501011401
P,030501011402
P,030501011403
P,030501011404
P,030501011405
P,030501011406
P,030501011501
P,030501011502
P,030501011505
P,030501011508
P,030501020101
P,030501020102
P,030501020103
P,030501020201
P,030501020202
P,030501020301
P,030501020302
P,030501020303
P,030501020401
P,030501020402
P,030501020403
P,030501020501
P,030501020502
P,030501020503
P,030501020504
P,030501020601
P,030501020602
P,030501020603
P,030501020604
P,030501020605
P,030501030101
P,030501030102
P,030501030103
P,030501030104
P,030501030105
P,030501030106
P,030501030107
P,030501030108
P,030501030109
P,030501030201
P,030501030202
P,030501030203
P,030501030204
P,030501030302
P,030501030603
P,030501050103
P,030501050104
P,030501050201
P,030501050202
P,030501050203
P,030501050204
P,030501050303
P,030501050304
P,030501050305
P,030501050306
P,030501050307
P,030501050308
P,030501050309
P,030501050401
P,030501050402
P,030501050403
P,030501050404
P,030501050405
P,030501050406
P,030501050407
P,030501050501
P,030501050502
P,030501050503
P,030501050504
P,030501050505
P,030501050506
P,030501050602
P,030501050603
P,030501050604
P,030501050605
P,030501050606
P,030501050701
P,030501050702
P,030501050703
P,030501050704
P,030501050705
P,030501050801
P,030501050802
P,030501050803
P,030501050804
P,030501050805
P,030501050901
P,030501051101
P,030501051201
P,030501051202
P,030501051203
P,030501051501
P,030501051601
S,030300030301
S,030300030302
S,030300030303
S,030300030402
S,030300030403
S,030300030407
S,030300030601
S,030300030603
S,030300040201
S,030300040202
S,030300040203
S,030300040204
S,030300040205
S,030300040206
S,030300040301
S,030300040302
S,030300040303
S,030300040304
S,030300040305
S,030300040306
S,030300040307
S,030300040308
S,030300040401
S,030300040402
S,030300040403
S,030300040404
S,030300040405
S,030300040406
S,030300040407
S,030300040408
S,030300040409
S,030300040601
S,030300040602
S,030300040603
S,030300040604
S,030300040605
S,030300040606
S,030300040607
S,030300040608
S,030300040609
S,030300040610
S,030300040611
S,030300040702
S,030300040703
S,030300040704
S,030300040705
S,030300040706
S,030300040707
S,030401040306
S,030401040401
S,030401040504
S,030401040505
S,030401040506
S,030402010101
S,030402010102
S,030402010103
S,030402010104
S,030402010105
S,030402010202
S,030402010203
S,030402010301
S,030402010302
S,030402010303
S,030402010304
S,030402010305
S,030402010306
S,030402010404
S,030402010405
S,030402010501
S,030402010502
S,030402010506
S,030402030101
S,030402030102
S,030402030103
S,030402030104
S,030402030201
S,030402030202
S,030402030203
S,030402030204
S,030402030205
S,030402030206
S,030402030301
S,030402030501
S,030402040101
S,030402040102
S,030402040103
S,030402040104
S,030402040106
S,030402040301
S,030402040302
S,030402040303
